,index,artist,Unnamed: 0,artist_id,year,unique_length,num,avg
276,276,Rich Homie Quan,391,277,2015,62,1,62.0
277,277,Rich The Kid,392,278,2018,55,1,55.0
278,278,Rihanna,1182,837,6048,98,3,32.666666666666664
279,279,Rihanna & Calvin Harris,396,280,2016,11,1,11.0
280,280,Rihanna & Drake,795,562,4032,111,2,55.5
281,281,Rihanna & Eminem,399,282,2014,130,1,130.0
282,282,"Rihanna, Kanye West & Paul McCartney",400,283,2015,44,1,44.0
283,283,Rixton,401,284,2014,17,1,17.0
284,284,Robin Schulz & Francesco Yates,805,570,4031,82,2,41.0
285,285,Robin Schulz & James Blunt,404,286,2017,17,1,17.0
286,286,"Robin Thicke, T.I. & Pharrell Williams",405,287,2014,73,1,73.0
287,287,Route 94 & Jess Glynne,406,288,2014,1,1,1.0
288,288,"Rudimental, Jess Glynne, Macklemore & Dan Caplen",407,289,2018,46,1,46.0
289,289,Ruth B,408,290,2016,35,1,35.0
290,290,Sam Hunt,819,582,4032,71,2,35.5
291,291,Sam Smith,2898,2044,14104,112,7,16.0
292,292,Selena Gomez,1257,879,6050,76,3,25.333333333333332
293,293,Selena Gomez & ASAP Rocky,421,294,2015,55,1,55.0
294,294,Selena Gomez & Marshmello,422,295,2018,26,1,26.0
295,295,Shakira & Maluma,423,296,2017,113,1,113.0
296,296,Shakira & Rihanna,424,297,2014,25,1,25.0
297,297,Shawn Mendes,2565,1788,12099,164,6,27.333333333333332
298,298,Sheck Wes,431,299,2018,49,1,49.0
299,299,Sia,1734,1200,8060,98,4,24.5
300,300,Sia & Kendrick Lamar,436,301,2016,33,1,33.0
301,301,Sido & Andreas Bourani,437,302,2015,167,1,167.0
302,302,Sigma,438,303,2014,7,1,7.0
303,303,Silento,439,304,2015,18,1,18.0
304,304,Skrillex & Diplo,440,305,2015,25,1,25.0
305,305,Starley,441,306,2017,23,1,23.0
306,306,Stereoact & Kerstin Ott,442,307,2016,38,1,38.0
307,307,T-Wayne,443,308,2015,90,1,90.0
308,308,Taylor Swift,3129,2163,14109,273,7,39.0
309,309,Taylor Swift & Kendrick Lamar,451,310,2015,37,1,37.0
310,310,The Chainsmokers,452,311,2017,25,1,25.0
311,311,The Chainsmokers & Coldplay,453,312,2017,30,1,30.0
312,312,The Chainsmokers & Daya,454,313,2016,12,1,12.0
313,313,The Chainsmokers & Halsey,911,628,4033,70,2,35.0
314,314,The Chainsmokers & Rozes,457,315,2016,20,1,20.0
315,315,The Weeknd,3227,2212,14111,173,7,24.714285714285715
316,316,The Weeknd & Daft Punk,1398,951,6050,167,3,55.666666666666664
317,317,The Weeknd & Kendrick Lamar,468,318,2018,54,1,54.0
318,318,"Tiesto, Dzeko, Preme & Post Malone",469,319,2018,49,1,49.0
319,319,Tom Walker,470,320,2018,33,1,33.0
320,320,Tory Lanez,471,321,2016,22,1,22.0
321,321,Tove Lo,472,322,2015,25,1,25.0
322,322,Tove Lo & Hippie Sabotage,473,323,2014,42,1,42.0
323,323,Travi$ Scott,474,324,2018,159,1,159.0
324,324,Trey Songz,475,325,2014,35,1,35.0
325,325,Twenty One Pilots,1910,1304,8065,137,4,34.25
326,326,Tyga & Offset,480,327,2018,125,1,125.0
327,327,Usher,481,328,2015,79,1,79.0
328,328,Vance Joy,965,658,4029,72,2,36.0
329,329,Walk the Moon,484,330,2015,33,1,33.0
330,330,Wiz Khalifa & Charlie Puth,485,331,2015,31,1,31.0
331,331,X Ambassadors,973,664,4031,29,2,14.5
332,332,XXXTentacion,977,666,4036,40,2,20.0
333,333,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",490,334,2018,133,1,133.0
334,334,Years & Years,491,335,2015,21,1,21.0
335,335,Yo Gotti & Nicki Minaj,492,336,2017,127,1,127.0
336,336,Zara Larsson,493,337,2016,32,1,32.0
337,337,Zara Larsson & MNEK,494,338,2016,20,1,20.0
338,338,Zayn,495,339,2016,31,1,31.0
339,339,Zayn & Sia,496,340,2017,18,1,18.0
340,340,Zayn & Taylor Swift,497,341,2017,165,1,165.0
341,341,Zedd & Alessia Cara,498,342,2017,25,1,25.0
342,342,Zedd & Selena Gomez,499,343,2015,18,1,18.0
343,343,"Zedd, Maren Morris & Grey",500,344,2018,28,1,28.0
